,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
392,2.5,10.5,3.5,15.5,14.5,-1.5,5.5,5.5,13.5,14.5
393,2.5,12.5,3.5,14.5,14.5,-0.5,5.5,6.5,15.5,14.5
394,3.5,9.5,3.5,13.5,12.5,-1.5,5.5,6.5,16.5,13.5
395,4.5,9.5,6.5,14.5,13.5,0.5,4.5,8.5,15.5,13.5
396,5.5,10.5,6.5,15.5,14.5,0.5,5.5,8.5,17.5,14.5
397,2.5,9.5,1.5,12.5,11.5,-2.5,2.5,5.5,16.5,12.5
398,4.5,10.5,5.5,15.5,14.5,0.5,5.5,7.5,18.5,12.5
399,5.5,11.5,6.5,16.5,15.5,0.5,7.5,8.5,15.5,14.5
400,8.5,7.5,6.5,16.5,12.5,0.5,5.5,8.5,19.5,14.5
401,7.5,10.5,6.5,16.5,14.5,1.5,5.5,9.5,21.5,16.5
402,5.5,9.5,2.5,14.5,13.5,-0.5,4.5,6.5,18.5,15.5
403,5.5,12.5,3.5,15.5,14.5,-0.5,5.5,5.5,17.5,15.5
404,5.5,11.5,0.5,10.5,9.5,-3.5,4.5,4.5,15.5,13.5
405,3.5,9.5,5.5,16.5,14.5,-0.5,2.5,7.5,16.5,12.5
406,6.5,9.5,5.5,16.5,14.5,-0.5,3.5,7.5,19.5,14.5
407,5.5,9.5,3.5,15.5,14.5,-1.5,2.5,6.5,19.5,13.5
408,5.5,9.5,4.5,15.5,14.5,-1.5,3.5,6.5,20.5,13.5
409,7.5,9.5,5.5,18.5,15.5,-0.5,2.5,8.5,19.5,15.5
410,3.5,8.5,1.5,15.5,13.5,-2.5,2.5,5.5,15.5,14.5
411,6.5,11.5,6.5,17.5,14.5,0.5,5.5,8.5,18.5,16.5
412,6.5,11.5,3.5,17.5,14.5,-0.5,4.5,6.5,18.5,17.5
413,1.5,15.5,1.5,16.5,15.5,-2.5,3.5,4.5,16.5,15.5
414,4.5,8.5,0.5,14.5,10.5,-2.5,3.5,6.5,17.5,17.5
415,6.5,11.5,5.5,16.5,12.5,2.5,5.5,7.5,18.5,16.5
416,6.5,8.5,4.5,15.5,12.5,-0.5,3.5,8.5,18.5,17.5
417,3.5,9.5,3.5,15.5,13.5,-4.5,2.5,7.5,16.5,14.5
418,6.5,11.5,6.5,17.5,15.5,-1.5,6.5,9.5,20.5,15.5
419,5.5,10.5,5.5,17.5,15.5,-0.5,4.5,7.5,18.5,16.5
420,3.5,12.5,2.5,13.5,11.5,-3.5,5.5,5.5,16.5,14.5
421,4.5,11.5,3.5,17.5,14.5,-2.5,3.5,7.5,17.5,16.5
422,4.5,10.5,1.5,14.5,13.5,-2.5,3.5,6.5,19.5,15.5
423,1.5,12.5,1.5,17.5,17.5,-2.5,3.5,6.5,15.5,14.5
424,3.5,8.5,1.5,13.5,12.5,-3.5,4.5,5.5,14.5,14.5
425,4.5,7.5,3.5,14.5,12.5,-2.5,4.5,6.5,15.5,15.5
426,5.5,9.5,4.5,15.5,13.5,-0.5,3.5,8.5,17.5,15.5
427,2.5,9.5,1.5,15.5,14.5,-3.5,0.5,5.5,17.5,13.5
428,4.5,10.5,4.5,16.5,14.5,-1.5,4.5,7.5,19.5,14.5
429,4.5,10.5,3.5,17.5,14.5,-0.5,2.5,6.5,16.5,13.5
430,5.5,11.5,5.5,17.5,16.5,1.5,5.5,8.5,19.5,15.5
431,4.5,11.5,4.5,17.5,15.5,-0.5,3.5,6.5,18.5,15.5
432,3.5,13.5,2.5,15.5,15.5,0.5,3.5,6.5,19.5,15.5
433,5.5,12.5,3.5,15.5,14.5,0.5,4.5,7.5,17.5,16.5
434,4.5,10.5,3.5,15.5,14.5,-0.5,5.5,7.5,18.5,16.5
435,3.5,9.5,4.5,15.5,14.5,-1.5,3.5,7.5,16.5,14.5
436,5.5,10.5,5.5,15.5,14.5,-1.5,3.5,8.5,18.5,15.5
437,3.5,11.5,3.5,15.5,14.5,-3.5,3.5,6.5,18.5,15.5
438,4.5,11.5,4.5,15.5,15.5,-1.5,4.5,7.5,19.5,14.5
439,5.5,11.5,5.5,17.5,15.5,-0.5,4.5,8.5,18.5,15.5
440,10.5,9.5,4.5,15.5,12.5,3.5,1.5,8.5,20.5,14.5
441,2.5,8.5,1.5,14.5,12.5,-2.5,2.5,4.5,15.5,14.5
442,6.5,8.5,3.5,18.5,15.5,-0.5,4.5,6.5,16.5,13.5
443,4.5,10.5,3.5,15.5,14.5,-0.5,4.5,6.5,18.5,16.5
444,8.5,8.5,7.5,15.5,12.5,-2.5,6.5,7.5,20.5,19.5
445,4.5,8.5,4.5,14.5,12.5,-1.5,3.5,7.5,18.5,15.5
446,6.5,9.5,4.5,15.5,13.5,-0.5,3.5,7.5,20.5,15.5
447,3.5,7.5,2.5,13.5,12.5,-2.5,2.5,5.5,18.5,13.5
448,4.5,7.5,3.5,14.5,12.5,-1.5,3.5,6.5,19.5,14.5
449,5.5,9.5,3.5,15.5,12.5,-1.5,2.5,5.5,17.5,15.5
450,5.5,8.5,6.5,16.5,14.5,-1.5,5.5,8.5,17.5,14.5
451,4.5,8.5,3.5,15.5,15.5,-1.5,1.5,5.5,17.5,13.5
452,4.5,9.5,2.5,15.5,13.5,-2.5,3.5,5.5,17.5,15.5
453,2.5,12.5,3.5,15.5,14.5,-1.5,4.5,6.5,17.5,16.5
454,5.5,8.5,4.5,16.5,15.5,-0.5,4.5,7.5,15.5,14.5
455,3.5,7.5,3.5,14.5,12.5,-1.5,2.5,6.5,17.5,13.5
456,5.5,10.5,5.5,15.5,14.5,-1.5,3.5,8.5,20.5,15.5
457,5.5,10.5,4.5,14.5,12.5,-2.5,3.5,6.5,16.5,15.5
458,4.5,8.5,3.5,16.5,15.5,-0.5,2.5,6.5,19.5,12.5
459,4.5,10.5,4.5,15.5,13.5,-1.5,2.5,7.5,15.5,14.5
460,6.5,7.5,6.5,14.5,12.5,-0.5,3.5,9.5,19.5,14.5
461,4.5,11.5,3.5,16.5,13.5,-2.5,1.5,6.5,16.5,14.5
462,4.5,10.5,1.5,13.5,12.5,-2.5,2.5,5.5,16.5,13.5
463,3.5,12.5,3.5,15.5,15.5,-0.5,3.5,7.5,17.5,15.5
464,6.5,9.5,4.5,14.5,12.5,-1.5,4.5,8.5,19.5,16.5
465,5.5,9.5,5.5,14.5,12.5,-2.5,2.5,8.5,17.5,14.5
466,7.5,7.5,8.5,16.5,14.5,0.5,3.5,10.5,20.5,14.5
467,4.5,9.5,3.5,13.5,12.5,-3.5,1.5,7.5,17.5,13.5
468,4.5,9.5,5.5,16.5,14.5,-2.5,2.5,8.5,17.5,12.5
469,6.5,10.5,6.5,17.5,15.5,-1.5,4.5,9.5,16.5,14.5
470,4.5,7.5,3.5,14.5,12.5,-1.5,4.5,7.5,18.5,13.5
471,3.5,9.5,5.5,16.5,15.5,0.5,4.5,8.5,19.5,15.5
472,4.5,8.5,2.5,13.5,13.5,-2.5,3.5,5.5,17.5,14.5
473,-0.5,12.5,0.5,13.5,14.5,-3.5,3.5,3.5,14.5,14.5
474,3.5,8.5,1.5,13.5,12.5,-3.5,3.5,5.5,16.5,14.5
475,3.5,7.5,3.5,13.5,13.5,-2.5,3.5,5.5,16.5,14.5
476,3.5,6.5,3.5,13.5,13.5,-2.5,3.5,6.5,18.5,13.5
477,3.5,10.5,3.5,14.5,13.5,-3.5,2.5,5.5,17.5,14.5
478,3.5,8.5,3.5,13.5,13.5,-2.5,3.5,6.5,19.5,13.5
479,3.5,9.5,3.5,13.5,12.5,-2.5,2.5,5.5,16.5,13.5
480,5.5,8.5,6.5,16.5,14.5,-0.5,4.5,9.5,20.5,14.5
481,2.5,8.5,2.5,14.5,12.5,-3.5,1.5,4.5,15.5,13.5
482,5.5,9.5,3.5,15.5,13.5,-1.5,4.5,6.5,19.5,14.5
483,4.5,11.5,4.5,17.5,15.5,-0.5,4.5,6.5,18.5,15.5
484,6.5,11.5,3.5,15.5,14.5,-2.5,5.5,5.5,20.5,15.5
485,5.5,7.5,6.5,15.5,13.5,-0.5,4.5,7.5,17.5,14.5
486,5.5,8.5,4.5,15.5,14.5,-2.5,2.5,7.5,20.5,14.5
487,3.5,8.5,2.5,13.5,12.5,-4.5,1.5,5.5,17.5,12.5
488,4.5,8.5,5.5,16.5,15.5,0.5,4.5,8.5,21.5,14.5
489,4.5,9.5,3.5,15.5,12.5,-2.5,2.5,5.5,16.5,13.5
490,7.5,6.5,5.5,15.5,12.5,1.5,5.5,8.5,15.5,14.5
491,0.5,7.5,0.5,14.5,11.5,-6.5,1.5,0.5,11.5,12.5
492,4.5,7.5,3.5,14.5,12.5,-1.5,4.5,6.5,15.5,14.5
493,3.5,10.5,2.5,14.5,14.5,-1.5,4.5,5.5,16.5,15.5
494,4.5,6.5,1.5,13.5,11.5,-2.5,3.5,5.5,16.5,14.5
495,4.5,6.5,3.5,14.5,12.5,-0.5,2.5,6.5,14.5,13.5
496,7.5,8.5,5.5,15.5,12.5,0.5,4.5,8.5,19.5,15.5
497,4.5,8.5,2.5,13.5,11.5,-2.5,2.5,5.5,17.5,14.5
498,5.5,8.5,4.5,15.5,13.5,-0.5,4.5,7.5,18.5,14.5
499,4.5,7.5,2.5,13.5,11.5,-1.5,3.5,5.5,14.5,14.5
500,6.5,7.5,7.5,15.5,12.5,0.5,6.5,7.5,18.5,15.5
