,cat
672,17.5
673,18.75
674,17.25
675,18.0
676,17.25
677,16.25
678,13.75
679,18.5
680,14.25
681,18.0
682,18.25
683,17.5
684,16.0
685,17.25
686,16.5
687,17.25
688,14.25
689,17.25
690,16.5
691,17.5
692,16.5
693,16.75
694,16.5
695,16.75
696,17.5
697,16.75
698,16.0
699,18.25
700,20.25
701,21.75
702,21.5
703,21.5
704,21.5
705,22.25
706,21.0
707,25.0
708,21.0
709,22.5
710,21.25
711,20.5
712,20.0
713,19.5
714,21.5
715,20.75
716,20.0
717,20.0
718,20.0
719,22.0
720,19.25
721,20.25
722,20.75
723,21.0
724,22.5
725,22.0
726,20.25
727,20.25
728,20.0
729,22.5
730,19.75
731,21.5
732,21.25
733,21.75
734,21.25
735,21.0
736,20.25
737,19.5
738,21.25
739,21.25
740,18.25
741,20.5
742,19.5
743,20.5
744,19.75
745,19.25
746,18.25
747,16.25
748,19.5
749,20.0
750,17.5
751,19.75
752,18.5
753,18.75
754,18.25
755,18.25
756,18.75
757,16.5
758,19.25
759,20.25
760,18.75
761,21.25
762,19.75
763,20.75
764,20.75
765,21.0
766,20.5
767,18.25
768,19.5
769,20.75
770,19.0
771,21.75
772,20.5
773,21.0
774,21.0
775,20.25
776,21.25
777,17.5
778,20.0
779,21.25
780,18.0
781,19.25
782,19.75
783,19.25
784,19.5
785,20.75
786,22.0
787,17.25
788,18.75
789,20.5
790,18.75
791,19.75
792,18.5
793,17.5
794,18.75
795,20.5
796,20.5
797,18.25
798,18.75
799,19.5
800,16.0
801,19.0
802,19.25
803,18.25
804,18.5
805,19.0
806,18.0
807,17.75
808,17.0
809,18.5
810,18.75
811,19.5
812,21.5
813,20.0
814,20.75
815,20.0
816,19.25
817,18.75
818,18.25
819,19.5
820,20.0
821,21.25
822,21.5
823,20.75
824,19.75
825,20.75
826,19.75
827,20.25
828,16.0
829,20.0
830,20.75
831,20.5
832,20.0
833,19.0
834,19.75
835,20.75
836,19.75
837,20.75
838,19.75
839,20.5
840,20.0
841,20.5
842,22.75
843,22.75
844,21.5
845,22.75
846,21.25
847,23.5
848,20.75
849,22.25
850,20.75
851,21.75
852,23.0
853,21.5
854,21.5
855,22.75
856,20.75
857,21.5
858,21.25
859,21.75
860,16.0
861,19.75
862,19.5
863,19.75
864,19.25
865,21.25
866,21.0
867,20.25
868,17.75
869,19.75
870,16.75
871,19.5
872,18.0
873,19.25
874,19.5
875,19.75
876,19.25
877,18.5
878,18.75
879,20.0
880,13.0
881,18.5
882,21.25
883,18.5
884,18.25
885,19.75
886,15.75
887,18.75
888,16.75
889,18.0
890,19.75
891,20.25
892,19.5
893,20.25
894,19.25
895,20.0
896,18.5
897,18.5
898,19.5
899,19.75
900,19.0
901,20.0
902,17.5
903,20.25
904,19.75
905,19.5
906,19.25
907,19.5
908,19.25
909,21.0
910,22.75
911,24.0
912,24.25
913,24.0
914,23.25
915,24.5
916,23.5
917,23.5
918,21.5
919,23.25
920,25.0
921,25.75
922,26.0
