,cat
910,-0.01171875
911,-0.01287841796875
912,-0.01287841796875
913,-0.0123291015625
914,-0.01251220703125
915,-0.01214599609375
916,-0.01220703125
917,-0.01165771484375
918,-0.0115966796875
919,-0.01177978515625
920,-0.01165771484375
921,-0.01287841796875
922,-0.01287841796875
923,-0.0123291015625
924,-0.01251220703125
925,-0.0120849609375
926,-0.01214599609375
927,-0.01165771484375
928,-0.0115966796875
929,-0.01171875
930,-0.01116943359375
931,-0.0123291015625
932,-0.0123291015625
933,-0.01177978515625
934,-0.011962890625
935,-0.0115966796875
936,-0.01165771484375
937,-0.0111083984375
938,-0.01104736328125
939,-0.01123046875
940,-0.01129150390625
941,-0.01251220703125
942,-0.01251220703125
943,-0.011962890625
944,-0.01214599609375
945,-0.01171875
946,-0.01177978515625
947,-0.01129150390625
948,-0.01123046875
949,-0.0113525390625
950,-0.01092529296875
951,-0.01214599609375
952,-0.0120849609375
953,-0.0115966796875
954,-0.01171875
955,-0.0113525390625
956,-0.01141357421875
957,-0.0108642578125
958,-0.0108642578125
959,-0.010986328125
960,-0.010986328125
961,-0.01220703125
962,-0.01214599609375
963,-0.01165771484375
964,-0.01177978515625
965,-0.01141357421875
966,-0.011474609375
967,-0.01092529296875
968,-0.01092529296875
969,-0.01104736328125
970,-0.01043701171875
971,-0.01165771484375
972,-0.01165771484375
973,-0.0111083984375
974,-0.01129150390625
975,-0.0108642578125
976,-0.01092529296875
977,-0.01043701171875
978,-0.0103759765625
979,-0.010498046875
980,-0.01043701171875
981,-0.0115966796875
982,-0.0115966796875
983,-0.01104736328125
984,-0.01123046875
985,-0.0108642578125
986,-0.01092529296875
987,-0.0103759765625
988,-0.01031494140625
989,-0.010498046875
990,-0.01055908203125
991,-0.01177978515625
992,-0.01171875
993,-0.01123046875
994,-0.0113525390625
995,-0.010986328125
996,-0.01104736328125
997,-0.010498046875
998,-0.010498046875
999,-0.0106201171875
