,cat
744,-9.0
745,-7.5
746,-9.5
747,-11.25
748,-9.25
749,-9.75
750,-8.25
751,-7.25
752,-8.0
753,-7.5
754,-8.0
755,-5.25
756,-8.25
757,-7.75
758,-8.25
759,-8.5
760,-9.0
761,-9.0
762,-9.0
763,-8.25
764,-9.0
765,-7.75
766,-9.0
767,-9.25
768,-8.0
769,-6.5
770,-8.5
771,-7.25
772,-9.25
773,-7.5
774,-8.75
775,-7.0
776,-10.0
777,-4.25
778,-7.75
779,-8.5
780,-7.25
781,-5.75
782,-8.0
783,-7.5
784,-7.75
785,-6.5
786,-6.0
787,-9.25
788,-9.75
789,-7.0
790,-9.25
791,-8.25
792,-8.75
793,-9.0
794,-10.75
795,-8.25
796,-10.75
797,-9.0
798,-5.0
799,-9.75
800,-8.5
801,-7.0
802,-5.0
803,-7.0
804,-7.0
805,-5.0
806,-8.5
807,-7.25
808,-7.0
809,-6.75
810,-7.5
811,-8.75
812,-6.0
813,-5.75
814,-7.0
815,-6.0
816,-7.0
817,-8.0
818,-6.75
819,-5.75
820,-8.0
821,-7.0
822,-7.25
823,-7.0
824,-7.5
825,-5.25
826,-7.5
827,-7.5
828,-7.5
829,-8.0
830,-7.0
831,-7.5
832,-7.5
833,-6.75
834,-6.75
835,-6.25
836,-7.5
837,-6.5
838,-7.0
839,-7.0
840,-7.5
841,-6.75
842,-7.75
843,-7.25
844,-8.5
845,-6.5
846,-8.25
847,-7.0
848,-8.25
849,-7.75
850,-7.25
851,-7.25
852,-7.5
853,-7.0
854,-7.75
855,-7.25
856,-8.25
857,-7.5
858,-9.75
859,-7.75
860,-7.75
861,-7.25
862,-7.0
863,-7.5
864,-7.75
865,-6.25
866,-7.75
867,-6.25
868,-6.5
869,-6.5
870,-7.25
871,-7.75
872,-7.0
873,-7.0
874,-7.75
875,-6.25
876,-6.5
877,-8.0
878,-8.0
879,-7.0
880,-8.25
881,-7.5
882,-6.5
883,-7.0
884,-8.25
885,-6.5
886,-7.75
887,-7.75
888,-7.75
889,-7.25
890,-8.25
891,-7.5
892,-8.75
893,-7.25
894,-8.25
895,-6.5
896,-9.5
897,-8.5
898,-8.5
899,-8.25
900,-7.5
901,-6.0
902,-7.25
903,-5.5
904,-7.75
905,-4.75
906,-7.0
907,-7.5
908,-6.5
909,-6.0
910,-5.5
911,-3.25
912,-10.0
913,-5.25
914,-7.0
915,-8.25
916,-8.0
917,-8.75
918,-7.5
919,-7.5
920,-7.5
921,-7.25
922,-6.0
923,-6.25
924,-7.25
925,-5.0
926,-7.75
927,-6.0
928,-6.75
929,-7.0
930,-5.75
931,-5.75
932,-7.25
933,-7.0
934,-7.5
935,-6.5
936,-7.75
937,-9.25
938,-6.5
939,-6.75
940,-7.75
941,-7.75
942,-8.25
943,-6.5
944,-6.5
945,-6.25
946,-8.5
947,-9.0
948,-7.5
949,-7.25
950,-7.5
951,-6.25
952,-6.75
953,-7.0
954,-7.75
955,-5.75
956,-8.0
957,-7.5
958,-7.25
959,-6.75
960,-7.5
961,-8.5
962,-10.0
963,-7.75
964,-9.0
965,-7.75
966,-8.0
967,-9.0
968,-8.75
969,-5.75
970,-7.75
971,-8.0
972,-8.75
973,-7.0
974,-8.0
975,-6.0
976,-8.75
977,-9.0
978,-7.0
979,-7.25
980,-7.25
981,-7.0
982,-8.75
983,-7.25
984,-9.0
985,-6.0
986,-8.0
987,-7.75
988,-6.5
989,-8.25
990,-6.0
991,-4.75
992,-7.0
993,-4.75
994,-7.25
995,-5.25
996,-5.0
997,-7.25
998,-7.5
999,-3.5
